,Artist,Song,Gender
1,Glenn Miller,Chattanooga Choo Choo,Male
2,Sammy Kaye,Daddy,Male
3,Artie Shaw,Stardust,Male
4,The Andrews Sisters,Boogie Woogie Bugle Boy,Female Group
5,Jimmy Dorsey,Amapola (Pretty Little Poppy),Male
6,Jimmy Dorsey,Green Eyes,Male
7,Glenn Miller,Elmer’s Tune,Male
8,Duke Ellington,Take The ‘A’ Train,Male
9,Billie Holiday,God Bless the Child,Female 
10,Jimmy Dorsey,Maria Elena,Male
11,Horace Heidt,I Don’t Want to Set the World On Fire,Male
12,Freddy Martin,Piano Concerto in B Flat,Male
13,The Ink Spots,I Don’t Want to Set the World On Fire,Male Group
14,Jimmy Dorsey,Blue Champagne,Male
15,Glenn Miller,Song of the Volga Boatmen,Male
16,Jimmy Dorsey,My Sister & I,Male
17,Harry James,You Made Me Love You,Male
18,Tommy Dorsey & Frank Sinatra,Dolores,Male Group
19,Glenn Miller,You & I,Male
20,Benny Goodman,There’ll Be Some Changes Made,Male
21,The Sons of the Pioneers,Cool Water,Male Group
22,Xavier Cugat,Perfidia (Tonight),Male
23,Jimmy Dorsey,I Hear A Rhapsody,Male
24,Guy Lombardo,And the Band Played On,Male
25,Vera Lynn,A Nightingale Sang in Berkeley Square,Female
26,Dick Robertson,Ferryboat Serenade,Male
27,The Jesters,It’s a Great Day for the Irish,Male Group
28,The Tic-Toc Rhythm Orchestra,Ferryboat Serenade,Male Group
29,Judy Garland,It’s a Great Day for the Irish,Female
30,Francisco Alves,Canta Brasil,Male
31,George Formby,Bless ’em All (The Service Song),Male
32,Al Bowlly,When That Man is Dead & Gone,Male
33,Ernest Tubb,Walking the Floor Over You,Male
34,Glenn Miller,Anvil Chorus,Male
35,Glenn Miller,I Dreamt I Dwelt In Harlem,Male
36,The Andrews Sisters,I’ll Be With You in Apple Blossom Time,Female Group
37,Charlie Barnet,I Hear A Rhapsody,Male
38,Bing Crosby,Dolores,Male
39,Artie Shaw,Dancing in the Dark,Male
40,Artie Shaw,Summit Ridge Drive,Male
41,Wayne King,You Are My Sunshine,Male
42,Tommy Dorsey & Frank Sinatra,This Love of Mine,Male Group
43,Jimmy Dorsey,High On A Windy Hill,Male
44,Joe Loss Orchestra,‘V’ Stands For Victory,Male
45,Carlos Galhardo,Ala Li La,Male
46,Tommy Dorsey,Yes Indeed,Male
47,Big Maceo Merriweather,Worried Life Blues,Male
48,Gene Krupa,High On A Windy Hill,Male
49,Jimmy Dorsey,Yours,Male
50,Wayne King,Maria Elena,Male
51,Horace Heidt,G’bye Now,Male
52,Freddy Martin,The Hut Sut Song (A Swedish Serenade),Male
53,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now,Male Group
54,Gene Krupa,It All Comes Back To Me Now,Male
55,Bing Crosby,Shepherd’s Serenade,Male
56,Tommy Dorsey,Let’s Get Away From It All,Male
57,Gene Krupa,Let me off uptown,Male
58,Washboard Sam,She Belongs to The Devil,Male
59,Dorival Caymmi,O Mar,Male
60,Glenn Miller,Adios,Male
61,Tommy Dorsey & Frank Sinatra,Two in Love,Male Group
62,Jimmy Dorsey,Jim,Male
63,Harry James,By the Sleepy Lagoon,Male
64,Ray Noble,By the Light of the Silvery Moon,Male
65,Horace Heidt,The Hut Sut Song (A Swedish Serenade),Male
66,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)",Male
67,Xavier Cugat,Green Eyes,Male
68,Xavier Cugat,"Chica, Chica, Boom, Chic",Male
69,Joel & Gaucho,Aurora,Male Group
70,Jay McShann,Vine Street Blues,Male
71,Glenn Miller,I Know Why,Male
72,Tommy Dorsey,Do I Worry?,Male
73,The Andrews Sisters,Bounce Me Brother,Female Group
74,Harry James,You Made Me Love You (I Didn’t Want to Do It),Male
75,Pedro Vargas,Besame Mucho,Male
76,Kay Kyser,(Lights Out) Til Reveille,Male
77,Tony Martin,The Last Time I Saw Paris,Male
78,Tommy Tucker,I Don’t Want to Set the World On Fire,Male
79,Guy Lombardo,Intermezzo (Souvenir De Vienne),Male
80,Anjos do Inferno,Voce Ja Foi a Bahia?,Male Group
