,0,1,2
0,1,Sam The Sham and The Pharaohs,Wooly Bully
1,2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch)
2,3,Rolling Stones,(I Can’t Get No) Satisfaction
3,4,We Five,You Were On My Mind
4,5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’
5,6,Petula Clark,Downtown
6,7,Beatles,Help!
7,8,Herman’s Hermits,Can’t You Hear My Heartbeat
8,9,Elvis Presley,Crying In The Chapel
9,10,Temptations,My Girl
10,11,Beach Boys,"Help Me, Rhonda"
11,12,Roger Miller,King Of The Road
12,13,Jewel Aikens,The Birds And The Bees
13,14,Mel Carter,"Hold Me, Thrill Me, Kiss Me"
14,15,Jr. Walker and The All Stars,Shotgun
15,16,Sonny and Cher,I Got You Babe
16,17,Gary Lewis and The Playboys,This Diamond Ring
17,18,Ramsey Lewis Trio,The “In” Crowd
18,19,Herman’s Hermits,Mrs. Brown You’ve Got A Lovely Daughter
19,20,Supremes,Stop! In The Name Of Love
20,21,Righteous Brothers,Unchained Melody
21,22,Herman’s Hermits,Silhouettes
22,23,Seekers,I’ll Never Find Another You
23,24,Jay and The Americans,"Cara, Mia"
24,25,Byrds,Mr. Tambourine Man
25,26,Sounds Orchestral,Cast Your Fate To The Wind
26,27,Barbara Mason,"Yes, I’m Ready"
27,28,Tom Jones,What’s New Pussycat?
28,29,Barry McGuire,Eve Of Destruction
29,30,McCoys,Hang On Sloopy
30,31,Beatles,Ticket To Ride
31,32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady
32,33,James Brown and The Famous Flames,Papa’s Got A Brand New Bag
33,34,Wayne Fontana and The Mindbenders,Game Of Love
34,35,Shirley Ellis,The Name Game
35,36,Petula Clark,I Know A Place
36,37,Supremes,Back In My Arms Again
37,38,Barbara Lewis,Baby I’m Yours
38,39,Kingsmen,The Jolly Green Giant
39,40,Patti Page,"Hush, Hush, Sweet Charlotte"
40,41,Bob Dylan,Like A Rolling Stone
41,42,Freddie and The Dreamers,I’m Telling You Now
42,43,Gerry and The Pacemakers,Ferry Cross The Mersey
43,44,Righteous Brothers,Just Once In My Life
44,45,Johnny Rivers,Seventh Son
45,46,Herman’s Hermits,"I’m Henry VIII, I Am"
46,47,Horst Jankowski,A Walk In The Black Forest
47,48,Yardbirds,For Your Love
48,49,Beach Boys,California Girls
49,50,Moody Blues,Go Now
50,51,Shirley Bassey,Goldfinger
51,52,Billy Joe Royal,Down In The Boondocks
52,53,Glenn Yarbrough,Baby The Rain Must Fall
53,54,Dave Clark Five,Catch Us If You Can
54,55,Beatles,Eight Days A Week
55,56,Beau Brummels,Just A Little
56,57,Ian Whitcomb,You Turn Me On
57,58,Marvin Gaye,I’ll Be Doggone
58,59,Gary Lewis and The Playboys,Save Your Heart For Me
59,60,Kinks,Tired Of Waiting For You
60,61,Gary Lewis and The Playboys,Count Me In
61,62,Kinks,All Day And All Of The Night
62,63,Jackie DeShannon,What The World Needs Now Is Love
63,64,Tom Jones,It’s Not Unusual
64,65,Sir Douglas Quintet,She’s About A Mover
65,66,Sam Cooke,Shake
66,67,Herman’s Hermits,Wonderful World
67,68,Martha and The Vandellas,Nowhere To Run
68,69,Yardbirds,Heart Full Of Soul
69,70,Searchers,Love Potion Number Nine
70,71,Dickle Lee,Laurie (Strange Things Happen)
71,72,Sonny and Cher,Baby Don’t Go
72,73,Turtles,It Ain’t Me Babe
73,74,Zombies,Tell Her No
74,75,Peter and Gordon,I Go To Pieces
75,76,Vic Dana,Red Roses For A Blue Lady
76,77,Patty Duke,Don’t Just Stand There
77,78,Miracles,The Tracks Of My Tears
78,79,Brenda Lee,Too Many Rivers
79,80,Dave Clark Five,I Like It Like That
80,81,Bobby Goldsboro,Little Things
81,82,Peter and Gordon,True Love Ways
82,83,Four Tops,It’s The Same Old Song
83,84,Fortunes,You’ve Got Your Troubles
84,85,Joe Tex,Hold What You’ve Got
85,86,Animals,We Gotta Get Out Of This Place
86,87,Beau Brummels,"Laugh, Laugh"
87,88,Rolling Stones,The Last Time
88,89,Lovin’ Spoonful,Do You Believe In Magic
89,90,Cher,All I Really Want To Do
90,91,Little Anthony and The Imperials,Take Me Back
91,92,Strangeloves,I Want Candy
92,93,Miracles,Ooo Baby Baby
93,94,Sonny,Laugh At Me
94,95,Roy Head,Treat Her Right
95,96,Jack Jones,The Race Is On
96,97,"Dino, Desi and Billy",I’m A Fool
97,98,Ad Libs,The Boy From New York City
98,99,Del Shannon,Keep Searchin’
99,100,Marvin Gaye,How Sweet It Is (To Be Loved By You)
